id	filename	md5	size	state
03443702-1483-4701-89c9-265a55a0ee68	4b5cf3f4-cd52-4a60-8b52-053922decf1b.rna_seq.augmented_star_gene_counts.tsv	887d783b32bbe5c232bb65ea09d07fce	4249768	released
686ce8e4-7a1a-42ec-b622-eddbbbb96d89	3c16e466-9734-4c78-845b-773aa7ab3651.rna_seq.augmented_star_gene_counts.tsv	1531e6e56c1050294274c5d05a4fbdd5	4208969	released
13878bfa-7329-4388-8980-7f5534b4c1a0	aabec8df-149e-4600-89a1-1977ce2f2f29.rna_seq.augmented_star_gene_counts.tsv	f891d7d9c887b724cf0abbb766f1142d	4259688	released
4f983f8e-7a9f-4bf9-9392-836ef579d69d	b009bc0d-4f86-4dfa-9c59-2749469f7c9a.rna_seq.augmented_star_gene_counts.tsv	375de308552dac55e2ca85c52ceb9b25	4229979	released
55f39f1a-499d-4e6d-9667-4229831d743e	51c7f64d-8c61-4a39-aae3-bb7f9aedf95b.rna_seq.augmented_star_gene_counts.tsv	5688076240f06bfb2c78fd414aad2dd5	4243307	released
708b9e5c-d93e-4c53-9f9f-b3ce7f414416	d7d45828-39f6-46f8-8e54-0848e3725aca.rna_seq.augmented_star_gene_counts.tsv	9d9e7d81f4ff445e3a5f2ad28762fe90	4222466	released
cf6ad7bc-9392-4f16-b427-69aded849958	943dbfcd-98c2-4377-91f5-47db01d4d62d.rna_seq.augmented_star_gene_counts.tsv	cd2f399877ba328ddd48c2e1a42ea7e0	4247927	released
ab5a2794-004e-4be9-a72e-d4852413d843	57d49732-3501-439d-afc5-d4d0c958d64e.rna_seq.augmented_star_gene_counts.tsv	88ef13077a79a2a0bd24463103b78ffd	4238082	released
99c45b19-2d33-4e62-9385-1fe24f784bd3	5de18821-a068-41cd-9468-81ad50a54d20.rna_seq.augmented_star_gene_counts.tsv	7aceb68c5a1ea1602b53bce736e4738c	4250370	released
9cf6116f-4d3b-4dc4-b4ca-d1163a407320	107edf95-e01c-4ca3-a6a1-3af3d7e997db.rna_seq.augmented_star_gene_counts.tsv	f6888077adcf044e787b369a7363a7e0	4234101	released
a9cc66d2-3518-459f-9d1a-e5133dc1a7d7	9b24ac23-7a2d-43ae-8f42-6b60dd6d0e66.rna_seq.augmented_star_gene_counts.tsv	f11b83d38b349bb994024f19fca3b8c6	4239535	released
91721d32-47e6-45b9-85b2-7c8b224d219e	27589f0a-0e71-41f0-aa28-55468db11cde.rna_seq.augmented_star_gene_counts.tsv	9cdf4aca0d93d88140a6293864761d6a	4242324	released
626273a0-40ea-43d8-bb2b-194d30ccfc90	cc4de259-7f6d-4915-8bb7-4179985bd1f1.rna_seq.augmented_star_gene_counts.tsv	22940c88c7d56ab2f9968142d3a7141a	4241423	released
85425631-29fe-47fa-baaf-bc23dbc378a9	57931a2d-b5ae-4cbf-b030-c0b4806d820d.rna_seq.augmented_star_gene_counts.tsv	4c0de597ae72d009b7004bd436476c71	4236625	released
c40c73aa-b2d4-4626-87ee-71b49ab7dbe0	2ec23a96-8205-403d-bd28-fdada96c8303.rna_seq.augmented_star_gene_counts.tsv	4aafd409fd0327e8bb76de011b57b2ba	4258489	released
7df751cc-5848-41d3-973a-a507c979ecd3	61937e37-3d0d-45f8-a39c-5ab0489ca7c1.rna_seq.augmented_star_gene_counts.tsv	a68eab0586bedd1b98bcfa98b2157129	4236342	released
af9ba5a7-2ff2-406d-b63a-e1ad5550401e	8c85e5c3-2921-43a7-a360-65cee80d9936.rna_seq.augmented_star_gene_counts.tsv	c3c13eb89b23be70355132a44b25b1cd	4237876	released
ca3c43ac-3e42-4992-bbf9-537eb8d4e74c	67a25803-dde5-4395-95c3-bf19c4e6d4ed.rna_seq.augmented_star_gene_counts.tsv	cee3997947c412e7fb1e41cd6759194b	4241871	released
73120e77-b856-4d1b-bfc8-88c112fbf466	9a163421-8e6e-44e4-92cc-31d058bfc733.rna_seq.augmented_star_gene_counts.tsv	e23e1955439d5c3750b929b0a8a318e0	4233345	released
7f08ee7e-94f1-456c-97bb-abf801f74286	335bca95-d359-470f-a211-68210d9e2ba7.rna_seq.augmented_star_gene_counts.tsv	dd6f9a040a892983641c84ff40dfbcb5	4246504	released
6c3faae2-4605-4891-bcd4-28da019c7f85	f62f0332-06f3-42bd-977e-91d9693a9197.rna_seq.augmented_star_gene_counts.tsv	7459b3eeae6281ad05da78bd219258b3	4251981	released
84c9cb87-67df-4dec-8af4-21a67d1661b3	97a4506b-81bd-4c81-9f62-f9502b8e8f3e.rna_seq.augmented_star_gene_counts.tsv	6ad8c798653ba910aef4e729c171cc71	4233179	released
424274bb-999a-4791-b416-8b43152fdba2	4ca098a0-e27c-458d-8276-d65372fea8be.rna_seq.augmented_star_gene_counts.tsv	5770911d5362a289da59405cda8c1f56	4239655	released
b8659e29-e394-4423-866e-7772179901a8	413a3887-de75-4c38-a60a-3a02eae2f61a.rna_seq.augmented_star_gene_counts.tsv	884ea307d3eb7ff2e7ddcf49b6fa7614	4233131	released
